Count of Offer #;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Row Labels;Adams;Allen;Anderson;Bailey;Baker;Barnes;Bell;Bennett;Brooks;Brown;Butler;Campbell;Carter;Clark;Collins;Cook;Cooper;Cox;Cruz;Davis;Diaz;Edwards;Evans;Fisher;Flores;Foster;Garcia;Gomez;Gonzalez;Gray;Green;Gutierrez;Hall;Harris;Hernandez;Hill;Howard;Hughes;Jackson;James;Jenkins;Johnson;Jones;Kelly;King;Lee;Lewis;Long;Lopez;Martin;Martinez;Miller;Mitchell;Moore;Morales;Morgan;Morris;Murphy;Myers;Nelson;Nguyen;Ortiz;Parker;Perez;Perry;Peterson;Phillips;Powell;Price;Ramirez;Reed;Reyes;Richardson;Rivera;Roberts;Robinson;Rodriguez;Rogers;Ross;Russell;Sanchez;Sanders;Scott;Smith;Stewart;Sullivan;Taylor;Thomas;Thompson;Torres;Turner;Walker;Ward;Watson;White;Williams;Wilson;Wood;Wright;Young;(blank);Grand Total;
1;;;;;;;;;;;1;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;1;;;;10;10
2;;;;;;;1;;;;;1;;;;;;1;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;1;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;10;10
3;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;6;6
4;;;;;;;;;;;1;;;1;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;1;;;1;;1;;;;;;1;;;12;12
5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;4;4
6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;1;;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;1;;;;;;;;1;;;;;;;;1;1;;12;12
7;;;;1;1;;;;;1;;;1;;;;;;;;1;;;;;;;;;;1;;;1;;;;1;;1;;;;;1;;1;1;;;;;;;1;;;1;;;;;;;;;;;;;;;;1;;1;;1;;;;;;;;;1;;;;;;;1;;;;;;;;19;19
8;;;;;;;;1;1;;;;;;;;;;;;1;1;;;;;;;;;;1;;;;1;;1;;1;;;1;;;;1;;;;;;;;1;1;;;;1;;1;;;1;;;;;;;;;;;;;1;;;;;;;1;1;;;;1;;;;;;;1;;;;;20;20
9;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;1;;;;;;1;1;;;;;;;;;;;1;;10;10
10;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;7;7
11;;;;;;;;;1;;;;;1;1;;;;;;;;;1;;;;1;;;;;1;;;;1;;1;;;;;;;;;;1;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;13;13
12;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5
13;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;6;6
14;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;1;;;;;1;;;;;;;1;;;1;;;;9;9
15;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;6;6
16;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;5;5
17;;;;;;;1;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7
18;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;1;;;;;1;;;;;;;;;;;;;;1;;;;;1;1;;;;;;;;;1;;;;;1;;;;;;;1;1;;;;;1;;;;1;;;;;;14;14
19;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;5;5
20;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;6;6
